Id,Abstract,Task 1
D01607,"Modularisation, repetition, and symmetry are structural features shared by almost all biological neural networks.$$$These features are very unlikely to be found by the means of structural evolution of artificial neural networks.$$$This paper introduces NMODE, which is specifically designed to operate on neuro-modules.$$$NMODE addresses a second problem in the context of evolutionary robotics, which is incremental evolution of complex behaviours for complex machines, by offering a way to interface neuro-modules.$$$The scenario in mind is a complex walking machine, for which a locomotion module is evolved first, that is then extended by other modules in later stages.$$$We show that NMODE is able to evolve a locomotion behaviour for a standard six-legged walking machine in approximately 10 generations and show how it can be used for incremental evolution of a complex walking machine.$$$The entire source code used in this paper is publicly available through GitHub.",BACKGROUND BACKGROUND/OBJECTIVES OBJECTIVES OBJECTIVES OBJECTIVES RESULTS METHODS
D03916,"Morphological declension, which aims to inflect nouns to indicate number, case and gender, is an important task in natural language processing (NLP).$$$This research proposal seeks to address the degree to which Recurrent Neural Networks (RNNs) are efficient in learning to decline noun cases.$$$Given the challenge of data sparsity in processing morphologically rich languages and also, the flexibility of sentence structures in such languages, we believe that modeling morphological dependencies can improve the performance of neural network models.$$$It is suggested to carry out various experiments to understand the interpretable features that may lead to a better generalization of the learned models on cross-lingual tasks.",BACKGROUND OBJECTIVES OBJECTIVES/METHODS RESULTS
D06964,"Person re-identification (Re-ID) aims at recognizing the same person from images taken across different cameras.$$$To address this task, one typically requires a large amount labeled data for training an effective Re-ID model, which might not be practical for real-world applications.$$$To alleviate this limitation, we choose to exploit a sufficient amount of pre-existing labeled data from a different (auxiliary) dataset.$$$By jointly considering such an auxiliary dataset and the dataset of interest (but without label information), our proposed adaptation and re-identification network (ARN) performs unsupervised domain adaptation, which leverages information across datasets and derives domain-invariant features for Re-ID purposes.$$$In our experiments, we verify that our network performs favorably against state-of-the-art unsupervised Re-ID approaches, and even outperforms a number of baseline Re-ID methods which require fully supervised data for training.",BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS
D06650,"This paper discusses online algorithms for inverse dynamics modelling in robotics.$$$Several model classes including rigid body dynamics (RBD) models, data-driven models and semiparametric models (which are a combination of the previous two classes) are placed in a common framework.$$$While model classes used in the literature typically exploit joint velocities and accelerations, which need to be approximated resorting to numerical differentiation schemes, in this paper a new `derivative-free' framework is proposed that does not require this preprocessing step.$$$An extensive experimental study with real data from the right arm of the iCub robot is presented, comparing different model classes and estimation procedures, showing that the proposed `derivative-free' methods outperform existing methodologies.",BACKGROUND BACKGROUND OBJECTIVES/METHODS RESULTS/CONCLUSIONS
D02118,"Strategic suppression of grades, as well as early offers and contracts, are well-known phenomena in the matching process where graduating students apply to jobs or further education.$$$In this paper, we consider a game theoretic model of these phenomena introduced by Ostrovsky and Schwarz, and study the loss in social welfare resulting from strategic behavior of the schools, employers, and students.$$$We model grading of students as a game where schools suppress grades in order to improve their students' placements.$$$We also consider the quality loss due to unraveling of the matching market, the strategic behavior of students and employers in offering early contracts with the goal to improve the quality.$$$Our goal is to evaluate if strategic grading or unraveling of the market (or a combination of the two) can cause significant welfare loss compared to the optimal assignment of students to jobs.$$$To measure welfare of the assignment, we assume that welfare resulting from a job -- student pair is a separable and monotone function of student ability and the quality of the jobs.$$$Assuming uniform student quality distribution, we show that the quality loss from the above strategic manipulation is bounded by at most a factor of 2, and give improved bounds for some special cases of welfare functions.",BACKGROUND OBJECTIVES METHODS METHODS OBJECTIVES METHODS RESULTS
D02441,"Applications in political redistricting demand quantitative measures of geometric compactness to distinguish between simple and contorted shapes of legislative voting districts.$$$While the isoperimetric quotient, or ratio of area to perimeter squared, is commonly used in practice, it is sensitive to noisy data and irrelevant geographic features like coastline.$$$These issues are addressed in theory by the isoperimetric profile, which plots the minimum perimeter needed to inscribe shapes of different prescribed areas within the boundary of a shape; algorithms for computing this profile, however, are not known in practice.$$$Hence, in this paper, we propose a convex Eulerian relaxation of the isoperimetric profile using total variation.$$$We prove theoretical properties of our relaxation, showing that it still satisfies an isoperimetric inequality and yields a convex function of the prescribed area.$$$Furthermore, we provide a discretization of the problem, an optimization technique, and experiments demonstrating the value of our relaxation.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS
D04344,"Botnets continue to be an active threat against firms or companies and individuals worldwide.$$$Previous research regarding botnets has unveiled information on how the system and their stakeholders operate, but an insight on the economic structure that supports these stakeholders is lacking.$$$The objective of this research is to analyse the business model and determine the revenue stream of a botnet owner.$$$We also study the botnet life-cycle and determine the costs associated with it on the basis of four case studies.$$$We conclude that building a full scale cyber army from scratch is very expensive where as acquiring a previously developed botnet requires a little cost.$$$We find that initial setup and monthly costs were minimal compared to total revenue.",BACKGROUND OBJECTIVES OBJECTIVES OBJECTIVES CONCLUSIONS CONCLUSIONS
D01935,"This paper presents new alternatives to the well-known Bloom filter data structure.$$$The Bloom filter, a compact data structure supporting set insertion and membership queries, has found wide application in databases, storage systems, and networks.$$$Because the Bloom filter performs frequent random reads and writes, it is used almost exclusively in RAM, limiting the size of the sets it can represent.$$$This paper first describes the quotient filter, which supports the basic operations of the Bloom filter, achieving roughly comparable performance in terms of space and time, but with better data locality.$$$Operations on the quotient filter require only a small number of contiguous accesses.$$$The quotient filter has other advantages over the Bloom filter: it supports deletions, it can be dynamically resized, and two quotient filters can be efficiently merged.$$$The paper then gives two data structures, the buffered quotient filter and the cascade filter, which exploit the quotient filter advantages and thus serve as SSD-optimized alternatives to the Bloom filter.$$$The cascade filter has better asymptotic I/O performance than the buffered quotient filter, but the buffered quotient filter outperforms the cascade filter on small to medium data sets.$$$Both data structures significantly outperform recently-proposed SSD-optimized Bloom filter variants, such as the elevator Bloom filter, buffered Bloom filter, and forest-structured Bloom filter.$$$In experiments, the cascade filter and buffered quotient filter performed insertions 8.6-11 times faster than the fastest Bloom filter variant and performed lookups 0.94-2.56 times faster.",BACKGROUND/OBJECTIVES BACKGROUND BACKGROUND/OBJECTIVES METHODS/RESULTS METHODS/RESULTS RESULTS RESULTS RESULTS RESULTS RESULTS
D02200,"In the framework of convolutional neural networks that lie at the heart of deep learning, downsampling is often performed with a max-pooling operation that only retains the element with maximum activation, while completely discarding the information contained in other elements in a pooling region.$$$To address this issue, a novel pooling scheme, Ordinal Pooling Network (OPN), is introduced in this work.$$$OPN rearranges all the elements of a pooling region in a sequence and assigns different weights to these elements based upon their orders in the sequence, where the weights are learned via the gradient-based optimisation.$$$The results of our small-scale experiments on image classification task demonstrate that this scheme leads to a consistent improvement in the accuracy over max-pooling operation.$$$This improvement is expected to increase in deeper networks, where several layers of pooling become necessary.",BACKGROUND METHODS METHODS RESULTS CONCLUSIONS
D00051,"In wind farms, wake interaction leads to losses in power capture and accelerated structural degradation when compared to freestanding turbines.$$$One method to reduce wake losses is by misaligning the rotor with the incoming flow using its yaw actuator, thereby laterally deflecting the wake away from downstream turbines.$$$However, this demands an accurate and computationally tractable model of the wind farm dynamics.$$$This problem calls for a closed-loop solution.$$$This tutorial paper fills the scientific gap by demonstrating the full closed-loop controller synthesis cycle using a steady-state surrogate model.$$$Furthermore, a novel, computationally efficient and modular communication interface is presented that enables researchers to straight-forwardly test their control algorithms in large-eddy simulations.$$$High-fidelity simulations of a 9-turbine farm show a power production increase of up to 11% using the proposed closed-loop controller compared to traditional, greedy wind farm operation.",BACKGROUND BACKGROUND BACKGROUND METHODS OBJECTIVES OTHERS CONCLUSIONS
D03640,"Performing astronomical data analysis using only personal computers is becoming impractical for the very large data sets produced nowadays.$$$As analysis is not a task that can be automatized to its full extent, the idea of moving processing where the data is located means also moving the whole scientific process towards the archives and data centers.$$$Using Jupyter Notebooks as a remote service is a recent trend in data analysis that aims to deal with this problem, but harnessing the infrastructure to serve the astronomer without increasing the complexity of the service is a challenge.$$$In this paper we present the architecture and features of JOVIAL, a Cloud service where astronomers can safely use Jupyter notebooks over a personal space designed for high-performance processing under the high-availability principle.$$$We show that features existing only in specific packages can be adapted to run in the notebooks, and that algorithms can be adapted to run across the data center without necessarily redesigning them.",BACKGROUND BACKGROUND/OBJECTIVES BACKGROUND OBJECTIVES/METHODS RESULTS/CONCLUSIONS
D04767,"Person-to-person evaluations are prevalent in all kinds of discourse and important for establishing reputations, building social bonds, and shaping public opinion.$$$Such evaluations can be analyzed separately using signed social networks and textual sentiment analysis, but this misses the rich interactions between language and social context.$$$To capture such interactions, we develop a model that predicts individual A's opinion of individual B by synthesizing information from the signed social network in which A and B are embedded with sentiment analysis of the evaluative texts relating A to B.$$$We prove that this problem is NP-hard but can be relaxed to an efficiently solvable hinge-loss Markov random field, and we show that this implementation outperforms text-only and network-only versions in two very different datasets involving community-level decision-making: the Wikipedia Requests for Adminship corpus and the Convote U.S. Congressional speech corpus.",BACKGROUND BACKGROUND METHODS RESULTS
D06953,"Standardized corpora of undeciphered scripts, a necessary starting point for computational epigraphy, requires laborious human effort for their preparation from raw archaeological records.$$$Automating this process through machine learning algorithms can be of significant aid to epigraphical research.$$$Here, we take the first steps in this direction and present a deep learning pipeline that takes as input images of the undeciphered Indus script, as found in archaeological artifacts, and returns as output a string of graphemes, suitable for inclusion in a standard corpus.$$$The image is first decomposed into regions using Selective Search and these regions are classified as containing textual and/or graphical information using a convolutional neural network.$$$Regions classified as potentially containing text are hierarchically merged and trimmed to remove non-textual information.$$$The remaining textual part of the image is segmented using standard image processing techniques to isolate individual graphemes.$$$This set is finally passed to a second convolutional neural network to classify the graphemes, based on a standard corpus.$$$The classifier can identify the presence or absence of the most frequent Indus grapheme, the ""jar"" sign, with an accuracy of 92%.$$$Our results demonstrate the great potential of deep learning approaches in computational epigraphy and, more generally, in the digital humanities.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS RESULTS CONCLUSIONS
D02861,"In this paper, we propose a novel deep learning architecture for multi-label zero-shot learning (ML-ZSL), which is able to predict multiple unseen class labels for each input instance.$$$Inspired by the way humans utilize semantic knowledge between objects of interests, we propose a framework that incorporates knowledge graphs for describing the relationships between multiple labels.$$$Our model learns an information propagation mechanism from the semantic label space, which can be applied to model the interdependencies between seen and unseen class labels.$$$With such investigation of structured knowledge graphs for visual reasoning, we show that our model can be applied for solving multi-label classification and ML-ZSL tasks.$$$Compared to state-of-the-art approaches, comparable or improved performances can be achieved by our method.",BACKGROUND/OBJECTIVES BACKGROUND/METHODS RESULTS CONCLUSIONS RESULTS
D03083,"In this study, a shell-and-tube heat exchanger (STHX) design based on seven continuous independent design variables is proposed.$$$Delayed Rejection Adaptive Metropolis hasting (DRAM) was utilized as a powerful tool in the Markov chain Monte Carlo (MCMC) sampling method.$$$This Reverse Sampling (RS) method was used to find the probability distribution of design variables of the shell and tube heat exchanger.$$$Thanks to this probability distribution, an uncertainty analysis was also performed to find the quality of these variables.$$$In addition, a decision-making strategy based on confidence intervals of design variables and on the Total Annual Cost (TAC) provides the final selection of design variables.$$$Results indicated high accuracies for the estimation of design variables which leads to marginally improved performance compared to commonly used optimization methods.$$$In order to verify the capability of the proposed method, a case of study is also presented, it shows that a significant cost reduction is feasible with respect to multi-objective and single-objective optimization methods.$$$Furthermore, the selected variables have good quality (in terms of probability distribution) and a lower TAC was also achieved.$$$Results show that the costs of the proposed design are lower than those obtained from optimization method reported in previous studies.$$$The algorithm was also used to determine the impact of using probability values for the design variables rather than single values to obtain the best heat transfer area and pumping power.$$$In particular, a reduction of the TAC up to 3.5% was achieved in the case considered.",OBJECTIVES METHODS RESULTS RESULTS RESULTS CONCLUSIONS OTHERS RESULTS CONCLUSIONS OBJECTIVES CONCLUSIONS
D05434,"A broad class of software engineering problems can be generalized as the ""total recall problem"".$$$This short paper claims that identifying and exploring total recall language processing problems in software engineering is an important task with wide applicability.$$$To make that case, we show that by applying and adapting the state of the art active learning and text mining, solutions of the total recall problem, can help solve two important software engineering tasks: (a) supporting large literature reviews and (b) identifying software security vulnerabilities.$$$Furthermore, we conjecture that (c) test case prioritization and (d) static warning identification can also be categorized as the total recall problem.$$$The widespread applicability of ""total recall"" to software engineering suggests that there exists some underlying framework that encompasses not just natural language processing, but a wide range of important software engineering tasks.",BACKGROUND OBJECTIVES/CONCLUSIONS METHODS/RESULTS RESULTS CONCLUSIONS
D00430,"It is essential to find new ways of enabling experts in different disciplines to collaborate more efficient in the development of ever more complex systems, under increasing market pressures.$$$One possible solution for this challenge is to use a heterogeneous model-based approach where different teams can produce their conventional models and carry out their usual mono-disciplinary analysis, but in addition, the different models can be coupled for simulation (co-simulation), allowing the study of the global behavior of the system.$$$Due to its potential, co-simulation is being studied in many different disciplines but with limited sharing of findings.$$$Our aim with this work is to summarize, bridge, and enhance future research in this multidisciplinary area.$$$We provide an overview of co-simulation approaches, research challenges, and research opportunities, together with a detailed taxonomy with different aspects of the state of the art of co-simulation and classification for the past five years.$$$The main research needs identified are: finding generic approaches for modular, stable and accurate coupling of simulation units; and expressing the adaptations required to ensure that the coupling is correct.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS RESULTS/CONCLUSIONS
D06892,"Grammatical Evolution (GE) is a population-based evolutionary algorithm, where a formal grammar is used in the genotype to phenotype mapping process.$$$PonyGE2 is an open source implementation of GE in Python, developed at UCD's Natural Computing Research and Applications group.$$$It is intended as an advertisement and a starting-point for those new to GE, a reference for students and researchers, a rapid-prototyping medium for our own experiments, and a Python workout.$$$As well as providing the characteristic genotype to phenotype mapping of GE, a search algorithm engine is also provided.$$$A number of sample problems and tutorials on how to use and adapt PonyGE2 have been developed.",BACKGROUND METHODS OBJECTIVES METHODS RESULTS
D04155,"Non-uniform and multi-illuminant color constancy are important tasks, the solution of which will allow to discard information about lighting conditions in the image.$$$Non-uniform illumination and shadows distort colors of real-world objects and mostly do not contain valuable information.$$$Thus, many computer vision and image processing techniques would benefit from automatic discarding of this information at the pre-processing step.$$$In this work we propose novel view on this classical problem via generative end-to-end algorithm, namely image conditioned Generative Adversarial Network.$$$We also demonstrate the potential of the given approach for joint shadow detection and removal.$$$Forced by the lack of training data, we render the largest existing shadow removal dataset and make it publicly available.$$$It consists of approximately 6,000 pairs of wide field of view synthetic images with and without shadows.",BACKGROUND BACKGROUND BACKGROUND METHODS RESULTS RESULTS CONCLUSIONS
D03890,"We represent planning as a set of loosely coupled network flow problems, where each network corresponds to one of the state variables in the planning domain.$$$The network nodes correspond to the state variable values and the network arcs correspond to the value transitions.$$$The planning problem is to find a path (a sequence of actions) in each network such that, when merged, they constitute a feasible plan.$$$In this paper we present a number of integer programming formulations that model these loosely coupled networks with varying degrees of flexibility.$$$Since merging may introduce exponentially many ordering constraints we implement a so-called branch-and-cut algorithm, in which these constraints are dynamically generated and added to the formulation when needed.$$$Our results are very promising, they improve upon previous planning as integer programming approaches and lay the foundation for integer programming approaches for cost optimal planning.",BACKGROUND/METHODS BACKGROUND/METHODS BACKGROUND/METHODS OBJECTIVES METHODS RESULTS/CONCLUSIONS
D01413,"A wide array of dynamic bandwidth allocation (DBA) mechanisms have recently been proposed for improving bandwidth utilization and reducing idle times and packets delays in passive optical networks (PONs).$$$The DBA evaluation studies commonly assumed that the report message for communicating the bandwidth demands of the distributed optical network units (ONUs) to the central optical line terminal (OLT) is scheduled for the end of an ONU's upstream transmission, after the ONU's payload data transmissions.$$$In this article, we conduct a detailed investigation of the impact of the report message scheduling (RMS), either at the beginning (i.e., before the pay load data) or the end of an ONU upstream transmission on PON performance.$$$We analytically characterize the reduction in channel idle time with reporting at the beginning of an upstream transmission compared to reporting at the end.$$$Our extensive simulation experiments consider both the Ethernet Passive Optical Networking (EPON) standard and the Gigabit PON (GPON) standard.$$$We find that for DBAs with offline sizing and scheduling of ONU upstream transmission grants at the end of a polling cycle, which processes requests from all ONUs, reporting at the beginning gives substantial reductions of mean packet delay at high loads.$$$For high-performing DBAs with online grant sizing and scheduling, which immediately processes individual ONU requests, or interleaving of ONUs groups, both reporting at the beginning or end give essentially the same average packet delays.",BACKGROUND BACKGROUND OBJECTIVES/METHODS METHODS METHODS RESULTS/CONCLUSIONS RESULTS/CONCLUSIONS
D01733,"A variety of representation learning approaches have been investigated for reinforcement learning; much less attention, however, has been given to investigating the utility of sparse coding.$$$Outside of reinforcement learning, sparse coding representations have been widely used, with non-convex objectives that result in discriminative representations.$$$In this work, we develop a supervised sparse coding objective for policy evaluation.$$$Despite the non-convexity of this objective, we prove that all local minima are global minima, making the approach amenable to simple optimization strategies.$$$We empirically show that it is key to use a supervised objective, rather than the more straightforward unsupervised sparse coding approach.$$$We compare the learned representations to a canonical fixed sparse representation, called tile-coding, demonstrating that the sparse coding representation outperforms a wide variety of tilecoding representations.",BACKGROUND BACKGROUND BACKGROUND/METHODS BACKGROUND/OBJECTIVES/CONCLUSIONS OBJECTIVES/METHODS/CONCLUSIONS METHODS/RESULTS/CONCLUSIONS
D02250,"Widespread adoption of indoor positioning systems based on WiFi fingerprinting is at present hindered by the large efforts required for measurements collection during the offline phase.$$$Two approaches were recently proposed to address such issue: crowdsourcing and RSS radiomap prediction based on either interpolation or propagation channel model fitting from a small set of measurements.$$$RSS prediction promises better positioning accuracy when compared to crowdsourcing but no systematic analysis of the impact of system parameters on positioning accuracy is available.$$$This paper fills this gap by introducing ViFi, an indoor positioning system that relies on RSS prediction based on Multi-Wall Multi-Floor (MWMF) propagation model to generate a discrete RSS radiomap (virtual fingerprints).$$$The ViFi system is subject to an extensive experimental analysis in order to address the role of all relevant system parameters.$$$Experimental results obtained in two different testbeds show that the introduction of virtual fingerprints allows reduction by a factor of 10 of the number of measurements, without significant loss in positioning accuracy.$$$The use of two testbeds also allows to derive general guidelines for the design and the implementation of a virtual fingerprinting system.",BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES METHODS METHODS RESULTS METHODS
D06649,"This research introduces a new constraint domain for reasoning about data with uncertainty.$$$It extends convex modeling with the notion of p-box to gain additional quantifiable information on the data whereabouts.$$$Unlike existing approaches, the p-box envelops an unknown probability instead of approximating its representation.$$$The p-box bounds are uniform cumulative distribution functions (cdf) in order to employ linear computations in the probabilistic domain.$$$The reasoning by means of p-box cdf-intervals is an interval computation which is exerted on the real domain then it is projected onto the cdf domain.$$$This operation conveys additional knowledge represented by the obtained probabilistic bounds.$$$Empirical evaluation shows that, with minimal overhead, the output solution set realizes a full enclosure of the data along with tighter bounds on its probabilistic distributions.",OBJECTIVES METHODS METHODS METHODS METHODS RESULTS RESULTS/CONCLUSIONS
D02782,"Lane detection is to detect lanes on the road and provide the accurate location and shape of each lane.$$$It severs as one of the key techniques to enable modern assisted and autonomous driving systems.$$$However, several unique properties of lanes challenge the detection methods.$$$The lack of distinctive features makes lane detection algorithms tend to be confused by other objects with similar local appearance.$$$Moreover, the inconsistent number of lanes on a road as well as diverse lane line patterns, e.g. solid, broken, single, double, merging, and splitting lines further hamper the performance.$$$In this paper, we propose a deep neural network based method, named LaneNet, to break down the lane detection into two stages: lane edge proposal and lane line localization.$$$Stage one uses a lane edge proposal network for pixel-wise lane edge classification, and the lane line localization network in stage two then detects lane lines based on lane edge proposals.$$$Please note that the goal of our LaneNet is built to detect lane line only, which introduces more difficulties on suppressing the false detections on the similar lane marks on the road like arrows and characters.$$$Despite all the difficulties, our lane detection is shown to be robust to both highway and urban road scenarios method without relying on any assumptions on the lane number or the lane line patterns.$$$The high running speed and low computational cost endow our LaneNet the capability of being deployed on vehicle-based systems.$$$Experiments validate that our LaneNet consistently delivers outstanding performances on real world traffic scenarios.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND BACKGROUND METHODS METHODS METHODS RESULTS RESULTS RESULTS
D04355,"In this work, we explore the outage probability (OP) analysis of selective decode and forward (SDF) cooperation protocol employing multiple-input multipleoutput (MIMO) orthogonal space-time block-code (OSTBC) over time varying Rayleigh fading channel conditions with imperfect channel state information (CSI) and mobile nodes.$$$The closed-form expressions of the per-block average OP, probability distribution function (PDF) of sum of independent and identically distributed (i.i.d.)$$$Gamma random variables (RVs), and cumulative distribution function (CDF) are derived and used to investigate the performance of the relaying network.$$$A mathematical framework is developed to derive the optimal source-relay power allocation factors.$$$It is shown that source node mobility affects the per-block average OP performance more significantly than the destination node mobility.$$$Nevertheless, in other node mobility situations, cooperative systems are constrained by an error floor with a higher signal to noise ratio (SNR) regimes.$$$Simulation results show that the equal power allocation is the only possible optimal solution when source to relay link is stronger than the relay to destination link.$$$Also, we allocate almost all the power to the source node when source to relay link is weaker than the relay to destination link.$$$Simulation results also show that OP simulated plots are in close agreement with the OP analytic plots at high SNR regimes.",BACKGROUND OBJECTIVES RESULTS METHODS CONCLUSIONS CONCLUSIONS CONCLUSIONS CONCLUSIONS CONCLUSIONS
D03947,"A growing number of people are changing the way they consume news, replacing the traditional physical newspapers and magazines by their virtual online versions or/and weblogs.$$$The interactivity and immediacy present in online news are changing the way news are being produced and exposed by media corporations.$$$News websites have to create effective strategies to catch people's attention and attract their clicks.$$$In this paper we investigate possible strategies used by online news corporations in the design of their news headlines.$$$We analyze the content of 69,907 headlines produced by four major global media corporations during a minimum of eight consecutive months in 2014.$$$In order to discover strategies that could be used to attract clicks, we extracted features from the text of the news headlines related to the sentiment polarity of the headline.$$$We discovered that the sentiment of the headline is strongly related to the popularity of the news and also with the dynamics of the posted comments on that particular news.",BACKGROUND BACKGROUND BACKGROUND OBJECTIVES RESULTS RESULTS CONCLUSIONS
D04519,"In this paper, we consider a class of nonlinear regression problems without the assumption of being independent and identically distributed.$$$We propose a correspondent mini-max problem for nonlinear regression and outline a numerical algorithm.$$$Such an algorithm can be applied in regression and machine learning problems, and yield better results than traditional regression and machine learning methods.",OBJECTIVES METHODS RESULTS
D03797,"Dynamically typed programming languages such as JavaScript and Python defer type checking to run time.$$$In order to maximize performance, dynamic language VM implementations must attempt to eliminate redundant dynamic type checks.$$$However, type inference analyses are often costly and involve tradeoffs between compilation time and resulting precision.$$$This has lead to the creation of increasingly complex multi-tiered VM architectures.$$$This paper introduces lazy basic block versioning, a simple JIT compilation technique which effectively removes redundant type checks from critical code paths.$$$This novel approach lazily generates type-specialized versions of basic blocks on-the-fly while propagating context-dependent type information.$$$This does not require the use of costly program analyses, is not restricted by the precision limitations of traditional type analyses and avoids the implementation complexity of speculative optimization techniques.$$$We have implemented intraprocedural lazy basic block versioning in a JavaScript JIT compiler.$$$This approach is compared with a classical flow-based type analysis.$$$Lazy basic block versioning performs as well or better on all benchmarks.$$$On average, 71% of type tests are eliminated, yielding speedups of up to 50%.$$$We also show that our implementation generates more efficient machine code than TraceMonkey, a tracing JIT compiler for JavaScript, on several benchmarks.$$$The combination of implementation simplicity, low algorithmic complexity and good run time performance makes basic block versioning attractive for baseline JIT compilers.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS RESULTS RESULTS RESULTS CONCLUSIONS
D04247,"Wireless networking allows users to access information and services regardless of location and physical infrastructure.$$$It is a fast growing technology due to its availability of wireless devices, flexibility, ease of installation and configuration.$$$With this rapid expansion of information and Communication Technology (ICT), the consumption of energy is also increasing.$$$In the early age of wireless technology, computing infrastructure focused on everywhere access, capacity and speed of technology.$$$But now computing infrastructure should be energy efficient because, in wireless networking, devices are mostly powered by a battery that is a limited source of energy and is a challenge for the researchers.$$$In computing infrastructure energy saving and environmental protection has become a global demand.$$$This paper proposed a computing infrastructure based on green computing for energy efficient wireless networking.$$$Further, some challenges and techniques like power consumption in network architecture, algorithm efficiency, virtualization, and dynamic power saving will be discussed to make energy efficient computing infrastructure.",BACKGROUND BACKGROUND BACKGROUND BACKGROUND OTHERS OBJECTIVES OBJECTIVES/RESULTS/CONCLUSIONS OBJECTIVES/RESULTS/CONCLUSIONS
D04109,"As smart meters continue to be deployed around the world collecting unprecedented levels of fine-grained data about consumers, we need to find mechanisms that are fair to both, (1) the electric utility who needs the data to improve their operations, and (2) the consumer who has a valuation of privacy but at the same time benefits from sharing consumption data.$$$In this paper we address this problem by proposing privacy contracts between electric utilities and consumers with the goal of maximizing the social welfare of both.$$$Our mathematical model designs an optimization problem between a population of users that have different valuations on privacy and the costs of operation by the utility.$$$We then show how contracts can change depending on the probability of a privacy breach.$$$This line of research can help inform not only current but also future smart meter collection practices.",BACKGROUND OBJECTIVES METHODS RESULTS CONCLUSIONS
D05649,"We consider the problem of representing collective behavior of large populations and predicting the evolution of a population distribution over a discrete state space.$$$A discrete time mean field game (MFG) is motivated as an interpretable model founded on game theory for understanding the aggregate effect of individual actions and predicting the temporal evolution of population distributions.$$$We achieve a synthesis of MFG and Markov decision processes (MDP) by showing that a special MFG is reducible to an MDP.$$$This enables us to broaden the scope of mean field game theory and infer MFG models of large real-world systems via deep inverse reinforcement learning.$$$Our method learns both the reward function and forward dynamics of an MFG from real data, and we report the first empirical test of a mean field game model of a real-world social media population.",OBJECTIVES METHODS METHODS METHODS RESULTS
D02274,"Case Law has a significant impact on the proceedings of legal cases.$$$Therefore, the information that can be obtained from previous court cases is valuable to lawyers and other legal officials when performing their duties.$$$This paper describes a methodology of applying discourse relations between sentences when processing text documents related to the legal domain.$$$In this study, we developed a mechanism to classify the relationships that can be observed among sentences in transcripts of United States court cases.$$$First, we defined relationship types that can be observed between sentences in court case transcripts.$$$Then we classified pairs of sentences according to the relationship type by combining a machine learning model and a rule-based approach.$$$The results obtained through our system were evaluated using human judges.$$$To the best of our knowledge, this is the first study where discourse relationships between sentences have been used to determine relationships among sentences in legal court case transcripts.",BACKGROUND BACKGROUND OBJECTIVES METHODS METHODS METHODS METHODS OTHERS
D03393,"Background: Clinical decision support systems (CDSS) are a category of health information technologies that can assist clinicians to choose optimal treatments.$$$These support systems are based on clinical trials and expert knowledge; however, the amount of data available to these systems is limited.$$$For this reason, CDSSs could be significantly improved by using the knowledge obtained by treating patients.$$$This knowledge is mainly contained in patient records, whose usage is restricted due to privacy and confidentiality constraints.$$$Methods: A treatment effectiveness measure, containing valuable information for treatment prescription, was defined and a method to extract this measure from patient records was developed.$$$This method uses an advanced cryptographic technology, known as secure Multiparty Computation (henceforth referred to as MPC), to preserve the privacy of the patient records and the confidentiality of the clinicians' decisions.$$$Results: Our solution enables to compute the effectiveness measure of a treatment based on patient records, while preserving privacy.$$$Moreover, clinicians are not burdened with the computational and communication costs introduced by the privacy-preserving techniques that are used.$$$Our system is able to compute the effectiveness of 100 treatments for a specific patient in less than 24 minutes, querying a database containing 20,000 patient records.$$$Conclusion: This paper presents a novel and efficient clinical decision support system, that harnesses the potential and insights acquired from treatment data, while preserving the privacy of patient records and the confidentiality of clinician decisions.",BACKGROUND BACKGROUND BACKGROUND/OBJECTIVES BACKGROUND METHODS METHODS RESULTS RESULTS RESULTS CONCLUSIONS
D05774,"Deep neural networks with discrete latent variables offer the promise of better symbolic reasoning, and learning abstractions that are more useful to new tasks.$$$There has been a surge in interest in discrete latent variable models, however, despite several recent improvements, the training of discrete latent variable models has remained challenging and their performance has mostly failed to match their continuous counterparts.$$$Recent work on vector quantized autoencoders (VQ-VAE) has made substantial progress in this direction, with its perplexity almost matching that of a VAE on datasets such as CIFAR-10.$$$In this work, we investigate an alternate training technique for VQ-VAE, inspired by its connection to the Expectation Maximization (EM) algorithm.$$$Training the discrete bottleneck with EM helps us achieve better image generation results on CIFAR-10, and together with knowledge distillation, allows us to develop a non-autoregressive machine translation model whose accuracy almost matches a strong greedy autoregressive baseline Transformer, while being 3.3 times faster at inference.",BACKGROUND BACKGROUND/OBJECTIVES BACKGROUND METHODS RESULTS/CONCLUSIONS
